ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win
14,95,40,11,1.72,1.59,24,1.3,-0.010454042952119269,-0.03246686135709009,0.6152329259652484,39,0.0036150896275675137,-0.011964306846301676,1.2293942581740556,13,0.46153846153846156
43,135,16,15,2.04,2.39,32,1.05,-0.0038134802514177,-0.029364646658616045,0.8513906454701635,35,0.0017395483538069634,-0.01322290215863009,1.0995187908105624,12,0.3333333333333333
12,147,37,13,1.8,2.07,24,1.75,-0.011293394250540767,-0.030423866775179054,0.5324766926437493,31,0.003499912431783603,-0.008151605701823605,1.2600429838834117,10,0.4
21,102,23,26,2.04,3.14,30,1.52,-0.00382924519294614,-0.021221127219072655,0.8195112581967638,27,0.0018939958838239956,-0.00785748546052445,1.1722039247073455,7,0.2857142857142857
25,69,25,19,1.18,3.57,33,0.84,-0.003235852522566973,-0.03927968657198,0.9118240803247503,43,-0.01073052803664687,-0.0268267577085034,0.6780577106042329,17,0.17647058823529413
19,55,14,24,1.11,2.56,14,0.83,-0.01519746760531615,-0.05454893807642336,0.7150700561086392,68,-0.01002114389558506,-0.02605129697792874,0.7887818260841281,27,0.25925925925925924
16,176,15,25,1.52,3.11,38,1.66,0.003845484082158679,-0.02702414756236271,1.1871113265526847,30,0.012355660887210407,-0.00795392893940916,1.89719816318008,10,0.4
48,170,24,21,1.81,1.75,10,1.5,-0.005394121823294795,-0.018630566109850477,0.7591774143450295,33,0.0007741253018487271,-0.007487599223912733,1.060221695187452,10,0.4
49,176,46,22,2.17,2.49,29,1.12,-0.005986189667372965,-0.023090173259189384,0.5998197392105349,19,0.006681534137544354,-0.005277210799659149,1.7433063541099003,7,0.42857142857142855
27,62,9,30,1.59,3.58,20,1.33,0.0038966904368697985,-0.029549521096771225,1.1444092322177177,38,-0.00262068897952894,-0.026191554136280493,0.9011537514791741,14,0.21428571428571427
41,156,42,14,0.82,1.33,36,0.84,-0.00892195914160765,-0.027584695546217564,0.7022468791938242,47,-0.004084847137012293,-0.01064244022285099,0.8329639154220722,18,0.4444444444444444
